nodo_id_viejo,location_id,nodo_id_nuevo
485,1469421,382
486,1469421,382
487,1469422,340
488,1469422,340
489,1469423,292
490,1469423,292
491,1469424,246
492,1469424,246
493,1469425,196
494,1469425,196
495,1469426,151
496,1469426,151
497,1469427,111
498,1469427,111
499,1469428,75
500,1469428,75
501,1469429,44
502,1469429,44
503,1469430,32
504,1469415,687
505,1469416,640
506,1469416,640
507,1469417,590
508,1469417,590
509,1469418,533
510,1469418,533
511,1469419,479
512,1469419,479
513,1469420,425
514,1469420,425
515,1469421,382
516,1469421,382
517,1469422,340
518,1469422,340
519,1469423,292
520,1469423,292
521,1469424,246
522,1469424,246
523,1469425,196
524,1469425,196
525,1469426,151
526,1469426,151
527,1469427,111
528,1469427,111
529,1469428,75
530,1469428,75
531,1469429,44
532,1470599,688
533,1470600,641
534,1470600,641
535,1470601,591
536,1470601,591
537,1470602,534
538,1470602,534
539,1470603,480
540,1470603,480
541,1470604,426
542,1470604,426
543,1470605,383
544,1470605,383
545,1470606,341
546,1470606,341
547,1470607,293
548,1470607,293
549,1470608,247
550,1470608,247
551,1470609,197
552,1470609,197
553,1470610,152
554,1470610,152
555,1470611,112
556,1470611,112
557,1470612,76
558,1470612,76
559,1470613,45
560,1470598,729
561,1470599,688
562,1470599,688
563,1470600,641
564,1470600,641
565,1470601,591
566,1470601,591
567,1470602,534
568,1470602,534
569,1470603,480
570,1470603,480
571,1470604,426
572,1470604,426
573,1470605,383
574,1470605,383
575,1470606,341
576,1470606,341
577,1470607,293
578,1470607,293
579,1470608,247
580,1470608,247
581,1470609,197
582,1470609,197
583,1470610,152
584,1470610,152
585,1470611,112
586,1470611,112
587,1470612,76
588,1470612,76
589,1470613,45
590,1471783,730
591,1471784,689
592,1471784,689
593,1471785,642
594,1471785,642
595,1471786,592
596,1471786,592
597,1471787,535
598,1471787,535
599,1471788,481
600,1471788,481
601,1471789,427
602,1471789,427
603,1471790,384
604,1471790,384
605,1471791,342
606,1471791,342
607,1471792,294
608,1471792,294
609,1471793,248
610,1471793,248
611,1471794,198
612,1471794,198
613,1471795,153
614,1471795,153
615,1471796,113
616,1471796,113
617,1471797,77
618,1471797,77
619,1471798,46
620,1471783,730
621,1471784,689
622,1471784,689
623,1471785,642
624,1471785,642
625,1471786,592
626,1471786,592
627,1471787,535
628,1471787,535
629,1471788,481
630,1471788,481
631,1471789,427
632,1471789,427
633,1471790,384
634,1471790,384
635,1471791,342
636,1471791,342
637,1471792,294
638,1471792,294
639,1471793,248
640,1471793,248
641,1471794,198
642,1471794,198
643,1471795,153
644,1471795,153
645,1471796,113
646,1471796,113
647,1471797,77
648,1471797,77
649,1471798,46
650,1472968,731
651,1472969,690
652,1472969,690
653,1472970,643
654,1472970,643
655,1472971,593
656,1472971,593
657,1472972,536
658,1472972,536
659,1472973,482
660,1472973,482
661,1472974,428
662,1472974,428
663,1472975,385
664,1472975,385
665,1472976,343
